parametre,sous_cle,valeur,source,notes
ti_score_fallback,TruePositive_mean,68.0,"Verizon DBIR 2023, Microsoft MSTIC 2023, CrowdStrike 2023","Score TI moyen quand signal GUIDE trop faible (<50% du fallback). ~60-80% des incidents TP ont un IOC connu (MSTIC 2023)."
ti_score_fallback,TruePositive_std,18.0,"Verizon DBIR 2023, Microsoft MSTIC 2023, CrowdStrike 2023",Écart-type du score TI pour les TruePositive.
ti_score_fallback,BenignPositive_mean,28.0,"Verizon DBIR 2023, Microsoft MSTIC 2023, CrowdStrike 2023",Score TI moyen pour les BenignPositive — activité légitime avec TI faible.
ti_score_fallback,BenignPositive_std,15.0,"Verizon DBIR 2023, Microsoft MSTIC 2023, CrowdStrike 2023",Écart-type du score TI pour les BenignPositive.
ti_score_fallback,FalsePositive_mean,10.0,"Verizon DBIR 2023, Microsoft MSTIC 2023, CrowdStrike 2023",Score TI moyen pour les FalsePositive — faux déclenchement sans signal TI.
ti_score_fallback,FalsePositive_std,8.0,"Verizon DBIR 2023, Microsoft MSTIC 2023, CrowdStrike 2023",Écart-type du score TI pour les FalsePositive.
ti_score_signal_weights,verdict_weight,0.25,Pondération empirique GUIDE,"Poids LastVerdict dans calcul signal TI brut (~10% renseigné dans GUIDE)."
ti_score_signal_weights,suspicion_weight,0.45,Pondération empirique GUIDE,"Poids SuspicionLevel (~40% renseigné dans GUIDE)."
ti_score_signal_weights,threat_family_weight,0.30,Pondération empirique GUIDE,"Poids ThreatFamily (~4% renseigné dans GUIDE)."
suspicion_level_numeric,High,1.0,Échelle ordinale GUIDE,Mapping SuspicionLevel → valeur numérique pour feature ML.
suspicion_level_numeric,Medium,0.5,Échelle ordinale GUIDE,Mapping SuspicionLevel → valeur numérique pour feature ML.
suspicion_level_numeric,Low,0.1,Échelle ordinale GUIDE,Mapping SuspicionLevel → valeur numérique pour feature ML.
suspicion_level_numeric,Unknown,0.0,Échelle ordinale GUIDE,Mapping SuspicionLevel → valeur numérique pour feature ML.
last_verdict_numeric,Malicious,1.0,Échelle ordinale GUIDE,Mapping LastVerdict → valeur numérique pour feature ML.
last_verdict_numeric,Suspicious,0.6,Échelle ordinale GUIDE,Mapping LastVerdict → valeur numérique pour feature ML.
